go_term,bg_count,top_count,p_value,q_value
trophectodermal cell differentiation,27,1,0.15168534271264064,0.19900186582825954
actomyosin,27,1,0.15168534271264064,0.19900186582825954
negative regulation of inflammatory response to wounding,27,1,0.15168534271264064,0.19900186582825954
calcium ion export across plasma membrane,27,1,0.15168534271264064,0.19900186582825954
negative regulation of neural precursor cell proliferation,27,1,0.15168534271264064,0.19900186582825954
regulation of tubulin deacetylation,27,1,0.15168534271264064,0.19900186582825954
regulation of type I interferon production,27,1,0.15168534271264064,0.19900186582825954
nitric oxide mediated signal transduction,27,1,0.15168534271264064,0.19900186582825954
arginine metabolic process,27,1,0.15168534271264064,0.19900186582825954
peptidyl-threonine dephosphorylation,27,1,0.15168534271264064,0.19900186582825954
regulation of epithelial to mesenchymal transition,27,1,0.15168534271264064,0.19900186582825954
phospholipase inhibitor activity,27,1,0.15168534271264064,0.19900186582825954
negative regulation of synaptic transmission,27,1,0.15168534271264064,0.19900186582825954
positive regulation of neuroinflammatory response,27,1,0.15168534271264064,0.19900186582825954
embryonic skeletal joint morphogenesis,27,1,0.15168534271264064,0.19900186582825954
alcohol-forming long-chain fatty acyl-CoA reductase activity,27,1,0.15168534271264064,0.19900186582825954
"terminal branching, open tracheal system",27,1,0.15168534271264064,0.19900186582825954
positive regulation of interleukin-6 production,221,3,0.15214516132176462,0.19951770771973903
phosphatidylserine binding,221,3,0.15214516132176462,0.19951770771973903
associative learning,114,2,0.15279946897677635,0.2002880323269673
embryonic cranial skeleton morphogenesis,114,2,0.15279946897677635,0.2002880323269673
helicase activity,463,5,0.15335975851657707,0.2009784669049847
non-motile cilium,222,3,0.1535798793189196,0.2012229046687835
U12-type spliceosomal complex,115,2,0.15491247412545348,0.20283576902871464
skeletal muscle fiber development,115,2,0.15491247412545348,0.20283576902871464
liver regeneration,115,2,0.15491247412545348,0.20283576902871464
RNA endonuclease activity,223,3,0.15501886286817915,0.20293070376339342
single-stranded RNA binding,224,3,0.15646206575113564,0.20338650027742225
"phosphatidylinositol 3-kinase complex, class IA",28,1,0.15683865868526617,0.20338650027742225
"negative regulation of synaptic transmission, glutamatergic",28,1,0.15683865868526617,0.20338650027742225
cellular response to oxidised low-density lipoprotein particle stimulus,28,1,0.15683865868526617,0.20338650027742225
regulation of protein localization to cell surface,28,1,0.15683865868526617,0.20338650027742225
nuclear inclusion body,28,1,0.15683865868526617,0.20338650027742225
regulation of microtubule-based process,28,1,0.15683865868526617,0.20338650027742225
regulation of protein transport,28,1,0.15683865868526617,0.20338650027742225
negative regulation of cell division,28,1,0.15683865868526617,0.20338650027742225
calcium ion-regulated exocytosis of neurotransmitter,28,1,0.15683865868526617,0.20338650027742225
G protein-coupled acetylcholine receptor activity,28,1,0.15683865868526617,0.20338650027742225
positive regulation of cell growth involved in cardiac muscle cell development,28,1,0.15683865868526617,0.20338650027742225
dopamine biosynthetic process,28,1,0.15683865868526617,0.20338650027742225
cyclooxygenase pathway,28,1,0.15683865868526617,0.20338650027742225
cuticular plate,28,1,0.15683865868526617,0.20338650027742225
negative regulation of lipid biosynthetic process,28,1,0.15683865868526617,0.20338650027742225
negative regulation of amyloid fibril formation,28,1,0.15683865868526617,0.20338650027742225
mitochondrial transcription,28,1,0.15683865868526617,0.20338650027742225
L-methionine cycle,28,1,0.15683865868526617,0.20338650027742225
dystroglycan binding,28,1,0.15683865868526617,0.20338650027742225
membrane repolarization,28,1,0.15683865868526617,0.20338650027742225
hair cell differentiation,28,1,0.15683865868526617,0.20338650027742225
positive regulation of potassium ion import across plasma membrane,28,1,0.15683865868526617,0.20338650027742225
positive regulation of isotype switching,28,1,0.15683865868526617,0.20338650027742225
positive regulation of toll-like receptor 9 signaling pathway,28,1,0.15683865868526617,0.20338650027742225
epithelial tube morphogenesis,28,1,0.15683865868526617,0.20338650027742225
extrinsic component of plasma membrane,28,1,0.15683865868526617,0.20338650027742225
eye morphogenesis,28,1,0.15683865868526617,0.20338650027742225
positive regulation of endothelial cell chemotaxis,28,1,0.15683865868526617,0.20338650027742225
maternal behavior,28,1,0.15683865868526617,0.20338650027742225
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,28,1,0.15683865868526617,0.20338650027742225
G1 to G0 transition,28,1,0.15683865868526617,0.20338650027742225
TRAMP complex,28,1,0.15683865868526617,0.20338650027742225
intracellular sterol transport,28,1,0.15683865868526617,0.20338650027742225
kainate selective glutamate receptor activity,28,1,0.15683865868526617,0.20338650027742225
ruffle organization,28,1,0.15683865868526617,0.20338650027742225
transcription regulator activator activity,28,1,0.15683865868526617,0.20338650027742225
cell proliferation in forebrain,28,1,0.15683865868526617,0.20338650027742225
semicircular canal morphogenesis,28,1,0.15683865868526617,0.20338650027742225
secondary palate development,28,1,0.15683865868526617,0.20338650027742225
cellular response to X-ray,28,1,0.15683865868526617,0.20338650027742225
cellular response to caffeine,28,1,0.15683865868526617,0.20338650027742225
regulation of synaptic vesicle priming,28,1,0.15683865868526617,0.20338650027742225
response to axon injury,116,2,0.15703108653912182,0.20338650027742225
myosin binding,116,2,0.15703108653912182,0.20338650027742225
metal ion transmembrane transporter activity,116,2,0.15703108653912182,0.20338650027742225
vegetative to reproductive phase transition of meristem,116,2,0.15703108653912182,0.20338650027742225
sterol biosynthetic process,116,2,0.15703108653912182,0.20338650027742225
Golgi vesicle transport,116,2,0.15703108653912182,0.20338650027742225
protein processing,467,5,0.15718874652575768,0.2035466817173541
response to unfolded protein,117,2,0.15915516039922642,0.2059594329366826
anaphase-promoting complex-dependent catabolic process,117,2,0.15915516039922642,0.2059594329366826
positive regulation of macroautophagy,117,2,0.15915516039922642,0.2059594329366826
cellular response to lipopolysaccharide,599,6,0.16020855501284498,0.2072778215536679
cytoskeletal motor activity,346,4,0.16092345243848172,0.2077050648775525
fungal-type cell wall,118,2,0.16128455142224513,0.2077050648775525
spliceosomal complex assembly,118,2,0.16128455142224513,0.2077050648775525
response to steroid hormone,118,2,0.16128455142224513,0.2077050648775525
bicellular tight junction assembly,118,2,0.16128455142224513,0.2077050648775525
peptidyl-lysine trimethylation,29,1,0.16196070345269165,0.2077050648775525
deadenylation-independent decapping of nuclear-transcribed mRNA,29,1,0.16196070345269165,0.2077050648775525
dendrite extension,29,1,0.16196070345269165,0.2077050648775525
varicosity,29,1,0.16196070345269165,0.2077050648775525
tetrahydrofolate biosynthetic process,29,1,0.16196070345269165,0.2077050648775525
5'-3' RNA exonuclease activity,29,1,0.16196070345269165,0.2077050648775525
1-phosphatidylinositol-4-phosphate 3-kinase activity,29,1,0.16196070345269165,0.2077050648775525
hexokinase activity,29,1,0.16196070345269165,0.2077050648775525
immunological synapse formation,29,1,0.16196070345269165,0.2077050648775525
serine/threonine protein kinase complex,29,1,0.16196070345269165,0.2077050648775525
serine-type exopeptidase activity,29,1,0.16196070345269165,0.2077050648775525
rDNA binding,29,1,0.16196070345269165,0.2077050648775525
glutaminase activity,29,1,0.16196070345269165,0.2077050648775525
heart trabecula formation,29,1,0.16196070345269165,0.2077050648775525
fibroblast migration,29,1,0.16196070345269165,0.2077050648775525
Sertoli cell development,29,1,0.16196070345269165,0.2077050648775525
kinocilium,29,1,0.16196070345269165,0.2077050648775525
establishment or maintenance of microtubule cytoskeleton polarity,29,1,0.16196070345269165,0.2077050648775525
negative regulation of adenylate cyclase activity,29,1,0.16196070345269165,0.2077050648775525
positive regulation of fatty acid beta-oxidation,29,1,0.16196070345269165,0.2077050648775525
protein-disulfide reductase [NAD(P)H] activity,29,1,0.16196070345269165,0.2077050648775525
G-quadruplex RNA binding,29,1,0.16196070345269165,0.2077050648775525
positive regulation of D-glucose transmembrane transport,29,1,0.16196070345269165,0.2077050648775525
negative regulation of megakaryocyte differentiation,29,1,0.16196070345269165,0.2077050648775525
vesicle transport along actin filament,29,1,0.16196070345269165,0.2077050648775525
cardiac muscle hypertrophy in response to stress,29,1,0.16196070345269165,0.2077050648775525
protein K29-linked ubiquitination,29,1,0.16196070345269165,0.2077050648775525
negative regulation of smooth muscle cell apoptotic process,29,1,0.16196070345269165,0.2077050648775525
poly(G) binding,29,1,0.16196070345269165,0.2077050648775525
G protein-coupled receptor kinase activity,29,1,0.16196070345269165,0.2077050648775525
low-density lipoprotein particle remodeling,29,1,0.16196070345269165,0.2077050648775525
regulation of peptidyl-tyrosine phosphorylation,29,1,0.16196070345269165,0.2077050648775525
positive regulation of melanin biosynthetic process,29,1,0.16196070345269165,0.2077050648775525
myotube differentiation,29,1,0.16196070345269165,0.2077050648775525
nuclear vitamin D receptor binding,29,1,0.16196070345269165,0.2077050648775525
mitotic sister chromatid separation,29,1,0.16196070345269165,0.2077050648775525
recycling endosome,472,5,0.1620295424623222,0.207748861016238
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",228,3,0.1622761482381672,0.20802051622396903
visual perception,473,5,0.16300485863814673,0.2089099290357074
rescue of stalled cytosolic ribosome,119,2,0.16341911689471686,0.20935124942940306
cilium organization,119,2,0.16341911689471686,0.20935124942940306
intermediate filament,349,4,0.16439032427409753,0.2105503960816018
SNARE binding,351,4,0.16671641928834804,0.21259507673229838
myosin heavy chain binding,30,1,0.16705166657241546,0.21259507673229838
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I,30,1,0.16705166657241546,0.21259507673229838
positive regulation of RNA polymerase II transcription preinitiation complex assembly,30,1,0.16705166657241546,0.21259507673229838
cell dedifferentiation,30,1,0.16705166657241546,0.21259507673229838
AMPA glutamate receptor activity,30,1,0.16705166657241546,0.21259507673229838
enamel mineralization,30,1,0.16705166657241546,0.21259507673229838
positive regulation of neurotransmitter secretion,30,1,0.16705166657241546,0.21259507673229838
negative regulation of cyclin-dependent protein serine/threonine kinase activity,30,1,0.16705166657241546,0.21259507673229838
positive regulation of T cell cytokine production,30,1,0.16705166657241546,0.21259507673229838
regulation of defense response to virus,30,1,0.16705166657241546,0.21259507673229838
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,30,1,0.16705166657241546,0.21259507673229838
intracellular oxygen homeostasis,30,1,0.16705166657241546,0.21259507673229838
Toll signaling pathway,30,1,0.16705166657241546,0.21259507673229838
general transcription initiation factor binding,30,1,0.16705166657241546,0.21259507673229838
fructose-6-phosphate binding,30,1,0.16705166657241546,0.21259507673229838
positive regulation of sarcomere organization,30,1,0.16705166657241546,0.21259507673229838
astrocyte projection,30,1,0.16705166657241546,0.21259507673229838
retromer complex binding,30,1,0.16705166657241546,0.21259507673229838
telomere organization,30,1,0.16705166657241546,0.21259507673229838
hemoglobin biosynthetic process,30,1,0.16705166657241546,0.21259507673229838
salicylic acid mediated signaling pathway,30,1,0.16705166657241546,0.21259507673229838
ionotropic glutamate receptor complex,30,1,0.16705166657241546,0.21259507673229838
regulation of cellular response to oxidative stress,30,1,0.16705166657241546,0.21259507673229838
response to thyroid hormone,30,1,0.16705166657241546,0.21259507673229838
RNA polymerase I core promoter sequence-specific DNA binding,30,1,0.16705166657241546,0.21259507673229838
RNA polymerase II C-terminal domain phosphoserine binding,30,1,0.16705166657241546,0.21259507673229838
cellular response to insulin-like growth factor stimulus,30,1,0.16705166657241546,0.21259507673229838
Atg1/ULK1 kinase complex,30,1,0.16705166657241546,0.21259507673229838
histone H3K27me2/H3K27me3 demethylase activity,30,1,0.16705166657241546,0.21259507673229838
protein targeting to membrane,233,3,0.16963316386421629,0.21583450571123675
intracellular protein localization,612,6,0.171420378370463,0.21773916130709434
scavenger receptor activity,123,2,0.1720063222925798,0.21773916130709434
regulation of stress fiber assembly,31,1,0.17211173645479788,0.21773916130709434
histone H3 acetyltransferase activity,31,1,0.17211173645479788,0.21773916130709434
seminiferous tubule development,31,1,0.17211173645479788,0.21773916130709434
transforming growth factor beta receptor activity,31,1,0.17211173645479788,0.21773916130709434
activation of protein kinase B activity,31,1,0.17211173645479788,0.21773916130709434
U11/U12 snRNP,31,1,0.17211173645479788,0.21773916130709434
RNA polymerase II transcription repressor complex,31,1,0.17211173645479788,0.21773916130709434
glucokinase activity,31,1,0.17211173645479788,0.21773916130709434
regulation of behavior,31,1,0.17211173645479788,0.21773916130709434
epithelial tube branching involved in lung morphogenesis,31,1,0.17211173645479788,0.21773916130709434
metaphase/anaphase transition of mitotic cell cycle,31,1,0.17211173645479788,0.21773916130709434
mesodermal cell fate specification,31,1,0.17211173645479788,0.21773916130709434
calcium-dependent protein serine/threonine kinase activity,31,1,0.17211173645479788,0.21773916130709434
postsynaptic neurotransmitter receptor diffusion trapping,31,1,0.17211173645479788,0.21773916130709434
negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,31,1,0.17211173645479788,0.21773916130709434
response to caloric restriction,31,1,0.17211173645479788,0.21773916130709434
respiratory gaseous exchange by respiratory system,31,1,0.17211173645479788,0.21773916130709434
respiratory burst,31,1,0.17211173645479788,0.21773916130709434
negative regulation of cardiac muscle cell proliferation,31,1,0.17211173645479788,0.21773916130709434
phospholipid transfer activity,31,1,0.17211173645479788,0.21773916130709434
negative regulation of protein processing,31,1,0.17211173645479788,0.21773916130709434
negative regulation of interferon-beta production,31,1,0.17211173645479788,0.21773916130709434
negative regulation of cell growth involved in cardiac muscle cell development,31,1,0.17211173645479788,0.21773916130709434
cleavage furrow formation,31,1,0.17211173645479788,0.21773916130709434
regulation of cholesterol metabolic process,31,1,0.17211173645479788,0.21773916130709434
intracellular iron ion homeostasis,356,4,0.17258237606033067,0.21826795773907978
cholesterol metabolic process,235,3,0.1726026127654503,0.21826795773907978
dendrite development,124,2,0.17416467244258105,0.22005743106721898
MHC class II protein complex binding,124,2,0.17416467244258105,0.22005743106721898
cellular response to nitrogen starvation,124,2,0.17416467244258105,0.22005743106721898
GTPase binding,124,2,0.17416467244258105,0.22005743106721898
zinc ion transmembrane transporter activity,125,2,0.1763273724627099,0.22185237348596737
labyrinthine layer blood vessel development,32,1,0.1771411003522952,0.22185237348596737
response to vitamin E,32,1,0.1771411003522952,0.22185237348596737
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,32,1,0.1771411003522952,0.22185237348596737
early phagosome,32,1,0.1771411003522952,0.22185237348596737
DNA topoisomerase activity,32,1,0.1771411003522952,0.22185237348596737
uropod,32,1,0.1771411003522952,0.22185237348596737
uterus development,32,1,0.1771411003522952,0.22185237348596737
complement component C3b binding,32,1,0.1771411003522952,0.22185237348596737
ubiquitin-protein transferase activator activity,32,1,0.1771411003522952,0.22185237348596737
co-receptor binding,32,1,0.1771411003522952,0.22185237348596737
negative regulation of developmental process,32,1,0.1771411003522952,0.22185237348596737
L-glutamine transmembrane transporter activity,32,1,0.1771411003522952,0.22185237348596737
G protein-coupled opioid receptor activity,32,1,0.1771411003522952,0.22185237348596737
positive regulation of muscle cell differentiation,32,1,0.1771411003522952,0.22185237348596737
regulation of keratinocyte differentiation,32,1,0.1771411003522952,0.22185237348596737
alcohol-forming very long-chain fatty acyl-CoA reductase activity,32,1,0.1771411003522952,0.22185237348596737
positive regulation of keratinocyte proliferation,32,1,0.1771411003522952,0.22185237348596737
TRAIL-activated apoptotic signaling pathway,32,1,0.1771411003522952,0.22185237348596737
low-density lipoprotein particle,32,1,0.1771411003522952,0.22185237348596737
positive regulation of feeding behavior,32,1,0.1771411003522952,0.22185237348596737
embryonic heart tube morphogenesis,32,1,0.1771411003522952,0.22185237348596737
positive regulation of systemic arterial blood pressure,32,1,0.1771411003522952,0.22185237348596737
epidermis morphogenesis,32,1,0.1771411003522952,0.22185237348596737
retinal dehydrogenase (NAD+) activity,32,1,0.1771411003522952,0.22185237348596737
positive regulation of protein localization to early endosome,32,1,0.1771411003522952,0.22185237348596737
glomerular basement membrane development,32,1,0.1771411003522952,0.22185237348596737
adenylate cyclase-activating dopamine receptor signaling pathway,32,1,0.1771411003522952,0.22185237348596737
granulocyte differentiation,32,1,0.1771411003522952,0.22185237348596737
segment specification,32,1,0.1771411003522952,0.22185237348596737
phosphatidylinositol 3-kinase regulatory subunit binding,32,1,0.1771411003522952,0.22185237348596737
heparin proteoglycan biosynthetic process,32,1,0.1771411003522952,0.22185237348596737
Wnt signalosome,32,1,0.1771411003522952,0.22185237348596737
L-glutamine metabolic process,32,1,0.1771411003522952,0.22185237348596737
response to dietary excess,32,1,0.1771411003522952,0.22185237348596737
clathrin coat of coated pit,32,1,0.1771411003522952,0.22185237348596737
chondrocyte proliferation,32,1,0.1771411003522952,0.22185237348596737
response to L-glutamate,32,1,0.1771411003522952,0.22185237348596737
negative regulation of vascular endothelial growth factor receptor signaling pathway,32,1,0.1771411003522952,0.22185237348596737
cerebellar Purkinje cell differentiation,32,1,0.1771411003522952,0.22185237348596737
cellular response to nutrient,32,1,0.1771411003522952,0.22185237348596737
response to methylmercury,32,1,0.1771411003522952,0.22185237348596737
miRNA binding,126,2,0.17849429010258408,0.22343743890622325
regulation of translational initiation,126,2,0.17849429010258408,0.22343743890622325
endopeptidase activity,361,4,0.17851864170417067,0.22343743890622325
positive regulation of protein secretion,127,2,0.180665294545761,0.22607698475440088
heat shock protein binding,241,3,0.18159758028303127,0.22683221605220447
NURF complex,33,1,0.1821399443972368,0.22683221605220447
positive regulation of vascular permeability,33,1,0.1821399443972368,0.22683221605220447
L-glutamate biosynthetic process,33,1,0.1821399443972368,0.22683221605220447
positive regulation of cell adhesion mediated by integrin,33,1,0.1821399443972368,0.22683221605220447
middle ear morphogenesis,33,1,0.1821399443972368,0.22683221605220447
negative regulation of neuroblast proliferation,33,1,0.1821399443972368,0.22683221605220447
neutrophil migration,33,1,0.1821399443972368,0.22683221605220447
sterol transfer activity,33,1,0.1821399443972368,0.22683221605220447
regulation of mitophagy,33,1,0.1821399443972368,0.22683221605220447
negative regulation of cytokine-mediated signaling pathway,33,1,0.1821399443972368,0.22683221605220447
phospholipase activator activity,33,1,0.1821399443972368,0.22683221605220447
tRNA-specific adenosine deaminase activity,33,1,0.1821399443972368,0.22683221605220447
T cell mediated cytotoxicity,33,1,0.1821399443972368,0.22683221605220447
positive regulation of membrane protein ectodomain proteolysis,33,1,0.1821399443972368,0.22683221605220447
signal peptidase complex,33,1,0.1821399443972368,0.22683221605220447
positive regulation of signal transduction by p53 class mediator,33,1,0.1821399443972368,0.22683221605220447
"lumen formation, open tracheal system",33,1,0.1821399443972368,0.22683221605220447
"aspartic endopeptidase activity, intramembrane cleaving",33,1,0.1821399443972368,0.22683221605220447
"positive regulation of phagocytosis, engulfment",33,1,0.1821399443972368,0.22683221605220447
T-tubule organization,33,1,0.1821399443972368,0.22683221605220447
phosphatidic acid transfer activity,33,1,0.1821399443972368,0.22683221605220447
phosphatidylcholine acyl-chain remodeling,33,1,0.1821399443972368,0.22683221605220447
axoneme assembly,128,2,0.18284025640894555,0.2276570261191632
nucleosomal DNA binding,242,3,0.18310889982796397,0.2278967583270316
photoreceptor outer segment,242,3,0.18310889982796397,0.2278967583270316
regulation of inflammatory response,243,3,0.18462357343748248,0.22973417438543167
RNA polymerase II complex binding,129,2,0.1850190477114866,0.2301784538313447
miRNA-mediated gene silencing by inhibition of translation,244,3,0.18614155644196123,0.2313361950162978
1-phosphatidylinositol-3-kinase regulator activity,34,1,0.18710845360810596,0.2313361950162978
regulation of leukocyte cell-cell adhesion,34,1,0.18710845360810596,0.2313361950162978
thioredoxin-disulfide reductase (NADPH) activity,34,1,0.18710845360810596,0.2313361950162978
renal sodium ion absorption,34,1,0.18710845360810596,0.2313361950162978
regulation of epithelial cell proliferation,34,1,0.18710845360810596,0.2313361950162978
AP-2 adaptor complex binding,34,1,0.18710845360810596,0.2313361950162978
blastocyst formation,34,1,0.18710845360810596,0.2313361950162978
NK T cell activation,34,1,0.18710845360810596,0.2313361950162978
embryonic camera-type eye morphogenesis,34,1,0.18710845360810596,0.2313361950162978
ubiquitin ligase inhibitor activity,34,1,0.18710845360810596,0.2313361950162978
RNA polymerase I preinitiation complex assembly,34,1,0.18710845360810596,0.2313361950162978
icosanoid biosynthetic process,34,1,0.18710845360810596,0.2313361950162978
kinase activator activity,34,1,0.18710845360810596,0.2313361950162978
establishment of endothelial intestinal barrier,34,1,0.18710845360810596,0.2313361950162978
adherens junction assembly,34,1,0.18710845360810596,0.2313361950162978
leukocyte migration involved in inflammatory response,34,1,0.18710845360810596,0.2313361950162978
glycine binding,34,1,0.18710845360810596,0.2313361950162978
anaphase-promoting complex binding,34,1,0.18710845360810596,0.2313361950162978
regulation of stem cell division,34,1,0.18710845360810596,0.2313361950162978
regulation of release of sequestered calcium ion into cytosol,34,1,0.18710845360810596,0.2313361950162978
cellular response to decreased oxygen levels,34,1,0.18710845360810596,0.2313361950162978
ovulation,34,1,0.18710845360810596,0.2313361950162978
negative regulation of axon regeneration,34,1,0.18710845360810596,0.2313361950162978
mitochondrial fragmentation involved in apoptotic process,34,1,0.18710845360810596,0.2313361950162978
negative regulation of viral transcription,34,1,0.18710845360810596,0.2313361950162978
respiratory chain complex,34,1,0.18710845360810596,0.2313361950162978
mitochondrial crista,34,1,0.18710845360810596,0.2313361950162978
potassium ion transmembrane transporter activity,34,1,0.18710845360810596,0.2313361950162978
regulation of cell cycle G1/S phase transition,34,1,0.18710845360810596,0.2313361950162978
membrane organization,131,2,0.18938761381681146,0.23405745339432185
protein destabilization,131,2,0.18938761381681146,0.23405745339432185
chloride channel activity,247,3,0.1907149166243449,0.23560058491402674
phagocytic vesicle membrane,247,3,0.1907149166243449,0.23560058491402674
autophagy of mitochondrion,132,2,0.19157713965673231,0.23602880282472846
Golgi to lysosome transport,35,1,0.1920468118492072,0.23602880282472846
hemostasis,35,1,0.1920468118492072,0.23602880282472846
positive regulation of potassium ion transmembrane transport,35,1,0.1920468118492072,0.23602880282472846
growth hormone receptor binding,35,1,0.1920468118492072,0.23602880282472846
meiosis I,35,1,0.1920468118492072,0.23602880282472846
regulation of chromosome segregation,35,1,0.1920468118492072,0.23602880282472846
negative regulation of glycogen biosynthetic process,35,1,0.1920468118492072,0.23602880282472846
cardiac myofibril assembly,35,1,0.1920468118492072,0.23602880282472846
negative regulation of interleukin-12 production,35,1,0.1920468118492072,0.23602880282472846
profilin binding,35,1,0.1920468118492072,0.23602880282472846
positive regulation of acrosome reaction,35,1,0.1920468118492072,0.23602880282472846
lung morphogenesis,35,1,0.1920468118492072,0.23602880282472846
lens fiber cell differentiation,35,1,0.1920468118492072,0.23602880282472846
cellular response to interferon-alpha,35,1,0.1920468118492072,0.23602880282472846
cell projection membrane,35,1,0.1920468118492072,0.23602880282472846
histone mRNA catabolic process,35,1,0.1920468118492072,0.23602880282472846
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides",35,1,0.1920468118492072,0.23602880282472846
negative regulation of epithelial cell migration,35,1,0.1920468118492072,0.23602880282472846
response to UV-C,35,1,0.1920468118492072,0.23602880282472846
negative regulation of B cell proliferation,35,1,0.1920468118492072,0.23602880282472846
glial cell projection,35,1,0.1920468118492072,0.23602880282472846
microtubule severing ATPase activity,35,1,0.1920468118492072,0.23602880282472846
positive regulation of toll-like receptor 4 signaling pathway,35,1,0.1920468118492072,0.23602880282472846
retrograde axonal transport,35,1,0.1920468118492072,0.23602880282472846
determination of left/right symmetry,248,3,0.19224569256130986,0.23622475435980403
response to nicotine,133,2,0.19376999699767677,0.23801184610792195
microtubule motor activity,249,3,0.1937795561232639,0.23801184610792195
histone acetyltransferase activity,134,2,0.19596606478467601,0.240598762196684
striated muscle contraction,134,2,0.19596606478467601,0.240598762196684
G protein-coupled opioid receptor signaling pathway,36,1,0.19695520189193894,0.24102262037818192
regulation of catalytic activity,36,1,0.19695520189193894,0.24102262037818192
positive regulation of chromosome segregation,36,1,0.19695520189193894,0.24102262037818192
positive regulation of calcium ion import,36,1,0.19695520189193894,0.24102262037818192
negative regulation of signal transduction by p53 class mediator,36,1,0.19695520189193894,0.24102262037818192
positive regulation of DNA biosynthetic process,36,1,0.19695520189193894,0.24102262037818192
regulation of clathrin-dependent endocytosis,36,1,0.19695520189193894,0.24102262037818192
regulation of hemopoiesis,36,1,0.19695520189193894,0.24102262037818192
central nervous system neuron differentiation,36,1,0.19695520189193894,0.24102262037818192
cardiac conduction,36,1,0.19695520189193894,0.24102262037818192
nuclear envelope lumen,36,1,0.19695520189193894,0.24102262037818192
histone chaperone activity,36,1,0.19695520189193894,0.24102262037818192
mRNA transcription,36,1,0.19695520189193894,0.24102262037818192
CARD domain binding,36,1,0.19695520189193894,0.24102262037818192
regulation of gluconeogenesis,36,1,0.19695520189193894,0.24102262037818192
endosperm development,36,1,0.19695520189193894,0.24102262037818192
vasculature development,135,2,0.19816522328516115,0.24230533324925074
membrane coat,135,2,0.19816522328516115,0.24230533324925074
regulation of intracellular pH,135,2,0.19816522328516115,0.24230533324925074
cranial skeletal system development,135,2,0.19816522328516115,0.24230533324925074
mRNA export from nucleus,252,3,0.1983992330104485,0.2425419486629059
melanosome,253,3,0.19994500810255705,0.24438176602575798
response to stress,254,3,0.20149365193462926,0.24518918065641812
spindle pole,511,5,0.20170183021331334,0.24518918065641812
amino acid:sodium symporter activity,37,1,0.2018338054159528,0.24518918065641812
mast cell degranulation,37,1,0.2018338054159528,0.24518918065641812
regulation of asymmetric cell division,37,1,0.2018338054159528,0.24518918065641812
asymmetric synapse,37,1,0.2018338054159528,0.24518918065641812
T cell mediated immunity,37,1,0.2018338054159528,0.24518918065641812
somatic muscle development,37,1,0.2018338054159528,0.24518918065641812
positive regulation of protein processing,37,1,0.2018338054159528,0.24518918065641812
astrocyte activation,37,1,0.2018338054159528,0.24518918065641812
male mating behavior,37,1,0.2018338054159528,0.24518918065641812
fructokinase activity,37,1,0.2018338054159528,0.24518918065641812
adult heart development,37,1,0.2018338054159528,0.24518918065641812
intrinsic apoptotic signaling pathway in response to oxidative stress,37,1,0.2018338054159528,0.24518918065641812
acetyltransferase activator activity,37,1,0.2018338054159528,0.24518918065641812
lipid translocation,37,1,0.2018338054159528,0.24518918065641812
leading strand elongation,37,1,0.2018338054159528,0.24518918065641812
DNA synthesis involved in DNA repair,37,1,0.2018338054159528,0.24518918065641812
vitamin transport,37,1,0.2018338054159528,0.24518918065641812
"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity",37,1,0.2018338054159528,0.24518918065641812
5'-3' RNA polymerase activity,37,1,0.2018338054159528,0.24518918065641812
"phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity",37,1,0.2018338054159528,0.24518918065641812
UV protection,37,1,0.2018338054159528,0.24518918065641812
calcium channel inhibitor activity,37,1,0.2018338054159528,0.24518918065641812
contractile ring,37,1,0.2018338054159528,0.24518918065641812
nuclear chromosome segregation,37,1,0.2018338054159528,0.24518918065641812
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",37,1,0.2018338054159528,0.24518918065641812
protein modification by small protein conjugation,37,1,0.2018338054159528,0.24518918065641812
negative regulation of low-density lipoprotein particle clearance,37,1,0.2018338054159528,0.24518918065641812
cellular response to oxygen-containing compound,37,1,0.2018338054159528,0.24518918065641812
frizzled binding,137,2,0.20257234023484952,0.24603645217329423
terminal bouton,257,3,0.2061563624113202,0.24986340471729354
zymosterol biosynthetic process,38,1,0.20668280296701824,0.24986340471729354
DNA clamp loader activity,38,1,0.20668280296701824,0.24986340471729354
long-term synaptic depression,38,1,0.20668280296701824,0.24986340471729354
reverse cholesterol transport,38,1,0.20668280296701824,0.24986340471729354
retinal pigment epithelium development,38,1,0.20668280296701824,0.24986340471729354
retinal rod cell development,38,1,0.20668280296701824,0.24986340471729354
intracellularly cAMP-activated cation channel activity,38,1,0.20668280296701824,0.24986340471729354
ion channel inhibitor activity,38,1,0.20668280296701824,0.24986340471729354
hepatocyte differentiation,38,1,0.20668280296701824,0.24986340471729354
